score	name	city	state
8.6	 Tenth Street Pasta & Pizza	 Hoboken	 NJ
7.3	 The Brick Fire Baked Pizza	 Hoboken	 NJ
7.3	 Campania Coal Fired Pizza	 Brooklyn	 NY
7.6	 Norm's Pizza	 Brooklyn	 NY
7.2	 Grandma's Original Pizza	 Brooklyn	 NY
7.8	 Krispy Pizza 	 Brooklyn	 NY
7.6	 Gino's Restaurant	 Brooklyn	 NY
7.4	 Elegante Pizzeria	 Brooklyn	 NY
1.9	 Hell’s Kitchen Pizza	 New York	 NY
6.3	 Casola's Pizzeria & Sub Shop	 Miami	 FL
6.9	 Anthony's	 Watertown	 CT
6.1	 Lenny's Pizza	 Miami Beach	 FL
6.7	 Fino Wood Fired Pizza & Bar	 Watertown	 CT
6.8	 Vinny's Restaurant & Pizzeri...	 Naugatuck	 CT
6.6	 Mike's Pizza Palace	 Naugatuck	 CT
7.2	 John's Pizza Restaurant	 Naugatuck	 CT
7.5	 Vincenzo's Pizzeria	 Waterbury	 CT
8.1	 Domenick & Pia Pizzeria	 Waterbury	 CT
7.4	 Jet's Pizza	 New York	 NY
4.8	 Salt & Pepper	 New York	 NY
6.1	 Little Italy Pizza	 New York	 NY
2.2	 Square Pizza & Chicken	 New York	 NY
7.6	 John's Pizzeria	 Jersey City	 NJ
7.1	 Porta	 Jersey City	 NJ
8.1	 Razza Pizza Artigianale	 Jersey City	 NJ
7.1	 DC Pie Co	 Miami	 FL
6.8	 Andiamo	 Miami	 FL
6.1	 Pizza Bar - Collins Avenue	 Miami Beach	 FL
6.6	 Pizza Tree	 Columbia	 MO
6.7	 Shakespeare's Pizza - Downto...	 Columbia	 MO
5.4	 Flavors of Italy Bistro	 New York	 NY
7.2	 Tommy's Pizza	 Providence	 RI
7.4	 Providence Coal Fired Pizza	 Providence	 RI
7.9	 Tony D's Pizza	 Caldwell	 NJ
7.2	 Al Forno Restaurant	 Providence	 RI
8.8	 Angeloni's Restaurant & Pizz...	 Caldwell	 NJ
7.1	 Fellini Pizzeria	 Providence	 RI
6.7	 Federal Hill Pizza Providenc...	 Providence	 RI
5.9	 Antonio's Pizza	 Providence	 RI
7.4	 Caserta Pizzeria	 Providence	 RI
7.4	 DOUGH By Licastri	 Staten Island	 NY
7.9	 Nunzio's Pizzeria & Restaura...	 Staten Island	 NY
1.2	 Lincoln Financial Field	 Philadelphia	 PA
9.2	 De Lorenzo's Tomato Pies	 Robbinsville	 NJ
8.6	 Papa's Tomato Pies	 Robbinsville	 NJ
7.4	 Vino's Pizza	 Lafayette Hill	 PA
9.1	 Angelo's Pizzeria	 Philadelphia	 PA
0.0	 7-Eleven	 New York	 NY
7.1	 Feroce Ristorante	 New York	 NY
5.2	 Mangia - Flatiron	 New York	 NY
6.2	 Fortina - Brooklyn	 Brooklyn	 NY
6.6	 Union St Pizza	 Brooklyn	 NY
6.3	 Old Fashioned Pizza	 New York	 NY
8.1	 L'Arte Della Pizza Brooklyn	 Brooklyn	 NY
8.1	 Lo Duca Pizza	 Brooklyn	 NY
8.2	 Pizza Time	 Brooklyn	 NY
6.5	 Rivington Pizza	 New York	 NY
1.2	 Milk Bar East Village	 New York	 NY
6.7	 Faccia Luna Pizzeria	 State College	 PA
2.8	 Canyon Pizza	 State College	 PA
5.9	 Justin's Pizza	 Bronx	 NY
7.2	 Eleven B	 New York	 NY
6.7	 Via Trenta Pizzoteca	 New York	 NY
6.7	 Davenport's Pizza Palace	 Mountain Brook	 AL
7.1	 Post Office Pies	 Birmingham	 AL
7.9	 Via Roma Pizza Bar	 Brooklyn	 NY
8.7	 F & F Pizzeria	 Brooklyn	 NY
6.7	 Peppebroni's Pizza - Morgant...	 Morgantown	 WV
7.3	 La Nova Pizzeria	 Buffalo	 NY
7.0	 Picasso's Pizza	 Buffalo	 NY
7.5	 Bocce Club Pizza	 Amherst	 NY
6.1	 Ian's Pizza by the Slice	 Madison	 WI
7.4	 Salvatore's Tomato Pies	 Madison	 WI
4.8	 Trenta Tre Pizzeria	 New York	 NY
7.6	 Red Pinto Tailgate Party	 Orchard Park	 NY
6.2	 Pizza Di Roma	 Madison	 WI
7.4	 Nolita Pizza	 New York	 NY
5.7	 Paisan's	 Madison	 WI
8.3	 Sauce	 New York	 NY
6.8	 Pizza Brutta	 Madison	 WI
7.4	 Lucille	 Madison	 WI
7.4	 Vito's Slices and Ices	 New York	 NY
3.8	 Pizza Hut	 North Bergen	 NJ
5.3	 Las Vegas Motor Speedway	 Las Vegas	 NV
7.4	 Marinara Pizza	 New York	 NY
6.8	 Hard Knox Pizzeria	 Knoxville	 TN
6.9	 Prova Pizzabar	 New York	 NY
7.2	 Manero's Pizza	 New York	 NY
7.1	 Todaro Pizza	 Clemson	 SC
7.5	 Scratch Brick Oven	 Johnson City	 TN
6.2	 Casa Barilla	 New York	 NY
7.3	 Emilio's of Morris Park	 Bronx	 NY
8.6	 Tommy's Pizza	 Bronx	 NY
7.1	 IL Brigante	 New York	 NY
6.5	 Brenz Pizza Co.	 Knoxville	 TN
6.8	 Claudio Pizzeria	 New York	 NY
